file name;colors;amount color
001000.png;[184.5        184.55487805 184.09146341],[252.45635528 252.45444104 252.45597243],[133.56184211 133.61578947 133.14342105];[0.09570312 0.70019531 0.20410156]
001001.png;[113.62328767 118.5239726  150.15410959],[235.06708357 235.16202388 235.8357021 ],[31.55823293 31.55823293 31.55823293];[0.12597656 0.765625   0.10839844]
001002.png;[65.82941572 66.83143049 67.82471457],[246.23857868 246.25525743 246.27773749],[141.21982759 141.74568966 142.4137931 ];[0.49902344 0.42480469 0.07617188]
001003.png;[249.79152731 249.79152731 249.79152731],[12.59638554 12.59638554 12.59638554],[109.78947368 109.78947368 109.78947368];[0.640625   0.24121094 0.11816406]
001004.png;[250.48970588 247.82720588 248.04926471],[85.3509434  85.26792453 85.30566038],[168.19636364 139.55636364 141.16727273];[0.71386719 0.14648438 0.13964844]
001005.png;[  2.45125348  74.62451253 139.23509749],[17.91452991 24.05641026 30.2       ],[ 84.96428571 111.40714286 135.47380952];[0.63574219 0.2109375  0.15332031]
001006.png;[184.4325  216.58875 228.2075 ],[249.78222222 252.18828283 253.10424242],[ 40.77073171 133.28585366 168.78829268];[0.21289062 0.54589844 0.24121094]
001007.png;[32.21359223 61.01941748 80.76806904],[247.35353535 247.90656566 247.96717172],[150.11688312 163.41558442 169.51948052];[0.6484375  0.29003906 0.06152344]
001008.png;[242.52553297 241.38274665 239.52354983],[214.99712644 138.21264368  32.13074713],[  0.  66. 135.];[0.66113281 0.21386719 0.125     ]
001009.png;[252.06257901 192.98103666 205.05562579],[238.17254601 235.33052147 235.53527607],[149.84210526 231.23684211 190.3245614 ];[0.51757812 0.44335938 0.0390625 ]
001010.png;[240.20365535 242.33507398 244.97389034],[127.14917127 138.90976059 150.4732965 ],[ 27.66666667 200.9537037  243.61111111];[0.62890625 0.30566406 0.06542969]
001011.png;[217.25792812  72.27272727  72.27272727],[225.84955752 132.88495575 132.88495575],[202.38659058  25.90727532  25.90727532];[0.3359375  0.16015625 0.50390625]
